CF_NAME,VALUE,OPTION_TYPE
__system__,RocksDB_SE_v3.10,COMPARATOR
__system__,Rdb_system_merge_op,MERGE_OPERATOR
__system__,NULL,COMPACTION_FILTER
__system__,Rdb_compact_filter_factory,COMPACTION_FILTER_FACTORY
__system__,67108864,WRITE_BUFFER_SIZE
__system__,2,MAX_WRITE_BUFFER_NUMBER
__system__,1,MIN_WRITE_BUFFER_NUMBER_TO_MERGE
__system__,7,NUM_LEVELS
__system__,4,LEVEL0_FILE_NUM_COMPACTION_TRIGGER
__system__,20,LEVEL0_SLOWDOWN_WRITES_TRIGGER
__system__,36,LEVEL0_STOP_WRITES_TRIGGER
__system__,0,MAX_MEM_COMPACTION_LEVEL
__system__,67108864,TARGET_FILE_SIZE_BASE
__system__,1,TARGET_FILE_SIZE_MULTIPLIER
__system__,268435456,MAX_BYTES_FOR_LEVEL_BASE
__system__,OFF,LEVEL_COMPACTION_DYNAMIC_LEVEL_BYTES
__system__,10.000000,MAX_BYTES_FOR_LEVEL_MULTIPLIER
__system__,0.000000,SOFT_RATE_LIMIT
__system__,0.000000,HARD_RATE_LIMIT
__system__,100,RATE_LIMIT_DELAY_MAX_MILLISECONDS
__system__,0,ARENA_BLOCK_SIZE
__system__,OFF,DISABLE_AUTO_COMPACTIONS
__system__,ON,PURGE_REDUNDANT_KVS_WHILE_FLUSH
__system__,8,MAX_SEQUENTIAL_SKIP_IN_ITERATIONS
__system__,SkipListFactory,MEMTABLE_FACTORY
__system__,OFF,INPLACE_UPDATE_SUPPORT
__system__,ON,INPLACE_UPDATE_NUM_LOCKS
__system__,0.000000,MEMTABLE_PREFIX_BLOOM_BITS_RATIO
__system__,0,MEMTABLE_PREFIX_BLOOM_HUGE_PAGE_TLB_SIZE
__system__,0,BLOOM_LOCALITY
__system__,0,MAX_SUCCESSIVE_MERGES
__system__,OFF,OPTIMIZE_FILTERS_FOR_HITS
__system__,1:1:1:1:1:1:1,MAX_BYTES_FOR_LEVEL_MULTIPLIER_ADDITIONAL
__system__,kSnappyCompression,COMPRESSION_TYPE
__system__,NUL,COMPRESSION_PER_LEVEL
__system__,-14:32767:0,COMPRESSION_OPTS
__system__,kDisableCompressionOption,BOTTOMMOST_COMPRESSION
__system__,NULL,PREFIX_EXTRACTOR
__system__,kCompactionStyleLevel,COMPACTION_STYLE
__system__,{SIZE_RATIO=1; MIN_MERGE_WIDTH=2; MAX_MERGE_WIDTH=4294967295; MAX_SIZE_AMPLIFICATION_PERCENT=200; COMPRESSION_SIZE_PERCENT=-1; STOP_STYLE=kCompactionStopStyleTotalSize},COMPACTION_OPTIONS_UNIVERSAL
__system__,1073741824,COMPACTION_OPTION_FIFO::MAX_TABLE_FILES_SIZE
__system__,FlushBlockBySizePolicyFactory(0x7f02ef3b0028),TABLE_FACTORY::FLUSH_BLOCK_POLICY_FACTORY
__system__,1,TABLE_FACTORY::CACHE_INDEX_AND_FILTER_BLOCKS
__system__,1,TABLE_FACTORY::CACHE_INDEX_AND_FILTER_BLOCKS_WITH_HIGH_PRIORITY
__system__,1,TABLE_FACTORY::PIN_L0_FILTER_AND_INDEX_BLOCKS_IN_CACHE
__system__,1,TABLE_FACTORY::PIN_TOP_LEVEL_INDEX_AND_FILTER
__system__,0,TABLE_FACTORY::INDEX_TYPE
__system__,0,TABLE_FACTORY::DATA_BLOCK_INDEX_TYPE
__system__,1,TABLE_FACTORY::INDEX_SHORTENING
__system__,0.750000,TABLE_FACTORY::DATA_BLOCK_HASH_TABLE_UTIL_RATIO
__system__,1,TABLE_FACTORY::HASH_INDEX_ALLOW_COLLISION
__system__,1,TABLE_FACTORY::CHECKSUM
__system__,0,TABLE_FACTORY::NO_BLOCK_CACHE
__system__,0x7f02ef255830,TABLE_FACTORY::BLOCK_CACHE
__system__,LRUCache,TABLE_FACTORY::BLOCK_CACHE_NAME
__system__,<blank>,TABLE_FACTORY::BLOCK_CACHE_OPTIONS
__system__,5368709120,TABLE_FACTORY::CAPACITY
__system__,6,TABLE_FACTORY::NUM_SHARD_BITS
__system__,0,TABLE_FACTORY::STRICT_CAPACITY_LIMIT
__system__,None,TABLE_FACTORY::MEMORY_ALLOCATOR
__system__,0.000,TABLE_FACTORY::HIGH_PRI_POOL_RATIO
__system__,(nil),TABLE_FACTORY::BLOCK_CACHE_COMPRESSED
__system__,(nil),TABLE_FACTORY::PERSISTENT_CACHE
__system__,4096,TABLE_FACTORY::BLOCK_SIZE
__system__,10,TABLE_FACTORY::BLOCK_SIZE_DEVIATION
__system__,16,TABLE_FACTORY::BLOCK_RESTART_INTERVAL
__system__,1,TABLE_FACTORY::INDEX_BLOCK_RESTART_INTERVAL
__system__,4096,TABLE_FACTORY::METADATA_BLOCK_SIZE
__system__,0,TABLE_FACTORY::PARTITION_FILTERS
__system__,1,TABLE_FACTORY::USE_DELTA_ENCODING
__system__,nullptr,TABLE_FACTORY::FILTER_POLICY
__system__,1,TABLE_FACTORY::WHOLE_KEY_FILTERING
__system__,0,TABLE_FACTORY::VERIFY_COMPRESSION
__system__,0,TABLE_FACTORY::READ_AMP_BYTES_PER_BIT
__system__,2,TABLE_FACTORY::FORMAT_VERSION
__system__,1,TABLE_FACTORY::ENABLE_INDEX_COMPRESSION
__system__,0,TABLE_FACTORY::BLOCK_ALIGN
default,RocksDB_SE_v3.10,COMPARATOR
default,NULL,MERGE_OPERATOR
default,NULL,COMPACTION_FILTER
default,Rdb_compact_filter_factory,COMPACTION_FILTER_FACTORY
default,67108864,WRITE_BUFFER_SIZE
default,2,MAX_WRITE_BUFFER_NUMBER
default,1,MIN_WRITE_BUFFER_NUMBER_TO_MERGE
default,7,NUM_LEVELS
default,4,LEVEL0_FILE_NUM_COMPACTION_TRIGGER
default,20,LEVEL0_SLOWDOWN_WRITES_TRIGGER
default,36,LEVEL0_STOP_WRITES_TRIGGER
default,0,MAX_MEM_COMPACTION_LEVEL
default,67108864,TARGET_FILE_SIZE_BASE
default,1,TARGET_FILE_SIZE_MULTIPLIER
default,268435456,MAX_BYTES_FOR_LEVEL_BASE
default,OFF,LEVEL_COMPACTION_DYNAMIC_LEVEL_BYTES
default,10.000000,MAX_BYTES_FOR_LEVEL_MULTIPLIER
default,0.000000,SOFT_RATE_LIMIT
default,0.000000,HARD_RATE_LIMIT
default,100,RATE_LIMIT_DELAY_MAX_MILLISECONDS
default,0,ARENA_BLOCK_SIZE
default,OFF,DISABLE_AUTO_COMPACTIONS
default,ON,PURGE_REDUNDANT_KVS_WHILE_FLUSH
default,8,MAX_SEQUENTIAL_SKIP_IN_ITERATIONS
default,SkipListFactory,MEMTABLE_FACTORY
default,OFF,INPLACE_UPDATE_SUPPORT
default,ON,INPLACE_UPDATE_NUM_LOCKS
default,0.000000,MEMTABLE_PREFIX_BLOOM_BITS_RATIO
default,0,MEMTABLE_PREFIX_BLOOM_HUGE_PAGE_TLB_SIZE
default,0,BLOOM_LOCALITY
default,0,MAX_SUCCESSIVE_MERGES
default,OFF,OPTIMIZE_FILTERS_FOR_HITS
default,1:1:1:1:1:1:1,MAX_BYTES_FOR_LEVEL_MULTIPLIER_ADDITIONAL
default,kSnappyCompression,COMPRESSION_TYPE
default,NUL,COMPRESSION_PER_LEVEL
default,-14:32767:0,COMPRESSION_OPTS
default,kDisableCompressionOption,BOTTOMMOST_COMPRESSION
default,NULL,PREFIX_EXTRACTOR
default,kCompactionStyleLevel,COMPACTION_STYLE
default,{SIZE_RATIO=1; MIN_MERGE_WIDTH=2; MAX_MERGE_WIDTH=4294967295; MAX_SIZE_AMPLIFICATION_PERCENT=200; COMPRESSION_SIZE_PERCENT=-1; STOP_STYLE=kCompactionStopStyleTotalSize},COMPACTION_OPTIONS_UNIVERSAL
default,1073741824,COMPACTION_OPTION_FIFO::MAX_TABLE_FILES_SIZE
default,FlushBlockBySizePolicyFactory(0x7f02ef3b0028),TABLE_FACTORY::FLUSH_BLOCK_POLICY_FACTORY
default,1,TABLE_FACTORY::CACHE_INDEX_AND_FILTER_BLOCKS
default,1,TABLE_FACTORY::CACHE_INDEX_AND_FILTER_BLOCKS_WITH_HIGH_PRIORITY
default,1,TABLE_FACTORY::PIN_L0_FILTER_AND_INDEX_BLOCKS_IN_CACHE
default,1,TABLE_FACTORY::PIN_TOP_LEVEL_INDEX_AND_FILTER
default,0,TABLE_FACTORY::INDEX_TYPE
default,0,TABLE_FACTORY::DATA_BLOCK_INDEX_TYPE
default,1,TABLE_FACTORY::INDEX_SHORTENING
default,0.750000,TABLE_FACTORY::DATA_BLOCK_HASH_TABLE_UTIL_RATIO
default,1,TABLE_FACTORY::HASH_INDEX_ALLOW_COLLISION
default,1,TABLE_FACTORY::CHECKSUM
default,0,TABLE_FACTORY::NO_BLOCK_CACHE
default,0x7f02ef255830,TABLE_FACTORY::BLOCK_CACHE
default,LRUCache,TABLE_FACTORY::BLOCK_CACHE_NAME
default,<blank>,TABLE_FACTORY::BLOCK_CACHE_OPTIONS
default,5368709120,TABLE_FACTORY::CAPACITY
default,6,TABLE_FACTORY::NUM_SHARD_BITS
default,0,TABLE_FACTORY::STRICT_CAPACITY_LIMIT
default,None,TABLE_FACTORY::MEMORY_ALLOCATOR
default,0.000,TABLE_FACTORY::HIGH_PRI_POOL_RATIO
default,(nil),TABLE_FACTORY::BLOCK_CACHE_COMPRESSED
default,(nil),TABLE_FACTORY::PERSISTENT_CACHE
default,4096,TABLE_FACTORY::BLOCK_SIZE
default,10,TABLE_FACTORY::BLOCK_SIZE_DEVIATION
default,16,TABLE_FACTORY::BLOCK_RESTART_INTERVAL
default,1,TABLE_FACTORY::INDEX_BLOCK_RESTART_INTERVAL
default,4096,TABLE_FACTORY::METADATA_BLOCK_SIZE
default,0,TABLE_FACTORY::PARTITION_FILTERS
default,1,TABLE_FACTORY::USE_DELTA_ENCODING
default,nullptr,TABLE_FACTORY::FILTER_POLICY
default,1,TABLE_FACTORY::WHOLE_KEY_FILTERING
default,0,TABLE_FACTORY::VERIFY_COMPRESSION
default,0,TABLE_FACTORY::READ_AMP_BYTES_PER_BIT
default,2,TABLE_FACTORY::FORMAT_VERSION
default,1,TABLE_FACTORY::ENABLE_INDEX_COMPRESSION
default,0,TABLE_FACTORY::BLOCK_ALIGN

