id,category_id,is_slider,created_by,created_on,link_video,link_catalog,product_name,product_detail
5,16,0,admin,2020-04-15 03:13:51,-,https://drive.google.com/open?id=1GBM8o20zWD36U-o7txLkmFI1cQgMGSFG,"CIBRE-30, 3-Contact CB Analyzer with Built-in Printer","CIBRE-30, 3 Contacts Circuit Breaker Analyzer is designed by advanced engineering technology to test contact timings of circuit-breakers. CIBRE-30 has a fast, easy and accurate measurement features by its user-friendly software. CIBRE-30 is a battery-powered device (optional feature), which allows users to perform tests even without power supply during on-field tests.\r\n\r\nFEATURES\r\n•\tContact Timing (O, C, O-C, C-O and O-C-O)\r\n•\tMotion Tests (Transducer Speed, Stroke, Bounce)\r\n•\t3 Dry Contact Inputs\r\n•\tTiming Accuracy: 0.05% rdg ± 0.1 ms\r\n•\tTiming Windows: 1s, 10s & 20s\r\n•\tContact Detection Range: Closed ≤20 Ω & Open ≥5000\r\n•\tPC Software\r\n•\t2.28” Built-in Printer\r\n•\t7” TFT Touch Colour Display\r\n•\tLight-weight and Portable\r\n•\tProtection Class IP67 (case closed)"
6,17,0,admin,2020-04-15 05:48:48,-,https://drive.google.com/open?id=1HQCfQ7BascEc5qOiXQ9bYGTTIlfDP0PK,ARES-200 Micro-Ohmmeter with Built-in Printer,"ARES-200 is a micro-ohmmeter produced with advanced engineering technologies which can apply up to 200 A current. With its easy-to-use software, ARES-200 can easily measure contact resistances of circuit breaker, shunt, disconnector by applying adjustable current from 1 A to 200 A.\n\nIt can calculate the real values of the resistors by providing penetration by the feature of the continuous current application. ARES-200 can measure from 0.1 µ Ω to 5 Ω. The ARES-200 is capable of measuring static resistance of the contact points of a circuit breaker.There is also an “Auto-Test” mode available on ARES-200, which enables to start testing automatically just by connecting the leads of the sensor cables across the two points of the current path and makes it highly convenient when measuring an array of resistance values in a circuit breaker contact.\n\nFEATURES\n•\tContact Resistance Measurement\n•\tAdjustable Current: 1 A to 200 A\n•\tMeasurement Range from 0.1 µ Ω to 5 Ω\n•\tTypical Accuracy 0.1%\n•\tStatic Resistance Measurement\n•\tDual Ground Test mode\n•\tAuto-test mode\n•\tBuilt-in Printer\n•\tOptional Current Clamp\n•\tInternal Memory, USB Flash Drive\n•\tPC control via USB cable\n•\t4.3-inch TFT touch Display\n•\tProtection Class: IP67 (case closed)"
7,17,0,admin,2020-04-15 05:50:21,-,https://drive.google.com/open?id=1_qwetYIbALL_-ROFbXlv8oSr3dPdCte0,ARES-200 BLUE Micro-Ohmmeter with Built-in Printer and Bluetooth,"ARES-200 BLUE is a micro-ohmmeter produced with advanced engineering technologies which can apply up to 200 A current. With its easy-to-use software, ARES-200 BLUE can easily measure contact resistances of circuit breaker, shunt, disconnector by applying adjustable current from 1 A to 200 A. It can calculate the real values of the resistors by providing penetration by the feature of the continuous current application.\n\nARES-200 BLUE can measure from 0.1 µ Ω to 5 Ω. The ARES-200 BLUE is capable of measuring static resistance of the contact points of a circuit breaker. There is also an “Auto-Test” mode available on ARES-200, which enables to start testing automatically just by connecting the leads of the sensor cables across the two points of the current path and makes it highly convenient when measuring an array of resistance values in a circuit breaker contact.\n\nFEATURES\n•\tContact Resistance Measurement\n•\tAdjustable Current: 1 A to 200 A\n•\tMeasurement Range from 0.1 µ Ω to 5 Ω\n•\tTypical Accuracy 0.1%\n•\tStatic Resistance Measurement\n•\tDual Ground Test mode\n•\tAuto-test mode\n•\tBuilt-in Printer\n•\tOptional Current Clamp\n•\tInternal Memory, USB Flash Drive\n•\tPC control via USB cable\n•\tBluetooth control and communication\n•\t4.3-inch TFT touch Display\n•\tProtection Class: IP67 (case closed)"
8,13,0,admin,2020-04-15 05:53:46,-,https://drive.google.com/open?id=1z79gys0dajjfmJP_26Q07fKf4qcYS-Hl,TURA-01 Transformer Turn Ratio Tester,"TURA-01 is designed by advanced engineering technology to measure the turns ratio of single and three-phase transformers. TURA-01 has a fast, easy and accurate TTR measurement features for current, voltage and power transformers by its user-friendly software. It’s one of the most accurate devices with its wide range (0.8 to 33,000) ratio measurement capability and high precision (0.08 %).\n\nFEATURES\n•\tTurns Ratio Measurement (Single-Phase and Three-Phase Measurement)\n•\tRanges from 0.8 to 33,000 ratio measurement\n•\tHigh Accuracy (0.08 %)\n•\t1V, 4V, 10V, 40 V and 100 V AC test voltage\n•\tRatio Error Measurement\n•\tExcitation Current, Phase Angle, Polarity measurement\n•\tBuilt-in Printer\n•\tInternal memory, USB Flash Drive\n•\tPC control via USB cable\n•\tOptional Bluetooth control and communication\n•\t4.3-inch large colour touch display"
9,13,0,admin,2020-04-15 05:55:29,-,https://drive.google.com/open?id=1zhDEuebDYYdKljE_3t437vT5cqtKXrSq,Tura-01 BLUE Transformer Turn Ratio Tester with Bluetooth,"TURA-01 BLUE is designed by advanced engineering technology to measure the turns ratio of single and three-phase transformers. TURA-01 BLUE has a fast, easy and accurate TTR measurement features for current, voltage and power transformers by its user-friendly software. It’s one of the most accurate devices with its wide range (0.8 to 33,000) ratio measurement capability and high precision (0.08 %).\nFEATURES\n•\tTurns ratio measurement (Single-phase and three-phase measurement)\n•\tRanges from 0.8 to 33,000 ratio measurement\n•\tHigh Accuracy (0.08 %)\n•\t1V, 4V, 10V, 40 V and 100 V AC test voltage\n•\tRatio Error measurement\n•\tExcitation Current, Phase Angle, Polarity measurement\n•\tBuilt-in Bluetooth control and communication\n•\tBuilt-in printer\n•\tInternal memory, USB Flash Drive\n•\tPC control via USB cable\n•\t4.3-inch large colour touch display"
10,14,0,admin,2020-04-15 05:56:42,-,https://drive.google.com/open?id=1caEBht4_uAqIyDZt-sz_Rxwj6Mt5Xzd0,TURA-03 Transformer Turn Ratio Tester,"TURA-03 is designed by advanced engineering technology to measure the turns ratio of single and three-phase transformers. TURA -03 has a fast, easy and accurate TTR measurement features for current, voltage and power transformers by its user-friendly software.\nBy using ANSI/IEEE C57.12.90 measurement method TURA-03 can make precise results. TURA-03 is one of the most accurate devices with its wide range ratio (0.8 to 50,000) measurement capability and high precision (0.08 %). Besides the ratio measurement, TURA-03 can also measure excitation current, phase angle, polarity and ratio error. Even though TURA-03 has three-phase cable configuration; the user can make single-phase transformer tests.\nTURA-03 can detect vector group automatically. TURA-03 has a wide operations range from high excitation value current transformer to high powered power transformer at substation with the 1V, 4V, 10V,  40 V, 100 V and 250 V AC test voltage generation capability. 7-inch colour touch display allows TURA-03 to show all measurement results on a single screen. USB, Bluetooth (Option) and Flash Memory features allow TURA-03 to control, record and store measurement results (up to 100 Test Record).\nWith the HighTest Data Management Platform (DMP Software), users can control TURA-03 and analyse measurement results. Operators can easily print the measurement results with the 2.28-inch built-in Printer of TURA-03. Multi-language capability and user-friendly operation menu make it easy to control TURA-03, even by less trained staff. TURA-03 can control tap changer (raise and lower) via its tap changer outputs. TURA-03 is a light, compact and rugged device with the protection of IP67 (case closed).\nIn addition to ratio tests, TURA-03 can be used to perform Magnetic Balance Test as well.\nFEATURES\n•\tTurns Ratio Measurement (Single-phase and three-phase measurement)\n•\tFrom 0.8 to 50,000 Ratio Measurement\n•\tHigh Accuracy (0.08 %)\n•\tRatio Error Measurement\n•\tMagnetic Balance Test\n•\tExcitation Current, Phase Angle, Polarity Measurement\n•\tBuilt-in Printer\n•\tAutomatic vector group detection feature\n•\tInternal Memory, USB Flash Drive\n•\tPC control via USB cable\n•\t7-inch large colour touch display"
11,14,0,admin,2020-04-15 05:57:38,-,https://drive.google.com/open?id=1swK_wkmpzzw4-cvEOgv7sWUb8WpBsdXB,TURA-03 BLUE Transformer Turn Ratio Tester with Bluetooth,"TURA-03 BLUE is designed by advanced engineering technology to measure the turns ratio of single and three-phase transformers. TURA -03 BLUE has a fast, easy and accurate TTR measurement features for current, voltage and power transformers by its user-friendly software.\r\nBy using ANSI/IEEE C57.12.90 measurement method TURA-03 BLUE can make precise results. TURA-03 BLUE is one of the most accurate devices with its wide range ratio (0.8 to 50,000) measurement capability and high precision (0.08 %). Besides the ratio measurement, TURA-03 BLUE can also measure excitation current, phase angle, polarity and ratio error. Even though TURA-03 BLUE has a three-phase cable configuration; the user can make single-phase transformer tests.\r\nTURA-03 BLUE can detect vector group automatically. TURA-03 BLUE has a wide operations range from high excitation value current transformer to high powered power transformer at substation with the 1V, 4V, 10V,  40 V, 100 V and 250 V AC test voltage generation capability. 7-inch colour touch display allows TURA-03 BLUE to show all measurement results on a single screen. USB-Bluetooth and Flash Memory features allow TURA-03 BLUE to control, record and store measurement results (up to 100 Test Record).\r\nWith the HighTest Data Management Platform (DMP Software), users can control TURA-03  BLUE and analyse measurement results Operators can easily print the measurement results with the 2.28-inch built-in Printer of TURA-03 BLUE. Multi-language capability and user-friendly operation menu make it easy to control TURA-03 BLUE, even by less trained staff. TURA-03 BLUE can control tap changer (raise and lower) via its tap changer outputs. TURA-03 BLUE is a light, compact and rugged device with the protection of IP67 (case closed).\r\nIn addition to ratio tests, TURA-03 BLUE can be used to perform Magnetic Balance Test as well.\r\nFEATURES\r\n•\tTurns Ratio Measurement (Single-phase and three-phase measurement)\r\n•\tFrom 0.8 to 50,000 Ratio Measurement\r\n•\tHigh Accuracy (0.08 %)\r\n•\tRatio Error Measurement\r\n•\tMagnetic Balance Test\r\n•\tExcitation Current, Phase Angle, Polarity Measurement\r\n•\tBuilt-in Printer\r\n•\tAutomatic vector group detection feature\r\n•\tInternal Memory, USB Flash Drive\r\n•\tPC control via USB cable\r\n•\tBuilt-in Bluetooth control and communication\r\n•\t7-inch large colour touch display"
12,14,0,admin,2020-04-15 05:58:26,-,https://drive.google.com/open?id=12ZZ1ZZ7GDIay-ZSS1djbfRWrCf4kBZtB,TURA-03B Transformer Turn Ratio Tester with Battery,"TURA-03B is designed by advanced engineering technology to measure the turns ratio of single-phase and three-phase transformers. TURA-03B has a fast, easy and accurate TTR measurement features for current, voltage and power transformers by its user-friendly software. TURA-03B is a battery-powered device, which allows the user to take measurements even without power supply during on-field tests.\nBy using ANSI/IEEE C57.12.90 measurement method TURA-03B can make precise results. TURA-03B is one of the most accurate devices with its wide range ratio (0.8 to 50,000) measurement capability and high precision (0.08 %). Besides the ratio measurement, TURA-03B can also measure excitation current, phase angle, polarity and ratio error. Even though TURA-03B has a three-phase cable configuration; the user can make single-phase transformer tests as well.\nTURA-03B can detect vector group automatically. TURA -03B has a wide operations range from high excitation value current transformer to high powered power transformer at substation with the 1V, 4V, 10V,  40 V, 100 V and 250 V AC test voltage generation capability. 7-inch colour touch display allows TURA-03B to show all measurement results on a single screen. USB, Bluetooth (Option) and Flash Memory features allow TURA-03B to control, record and store measurement results (up to 100 Test Record).\nWith the HighTest Data Management Platform (DMP Software), users can control TURA-03B and analyse measurement results. Operators can easily print the measurement results with the 2.28-inch built-in Printer of TURA-03B. Multi-language capability and user-friendly operation menu make it easy to control TURA-03B, even by less trained staffs. TURA-03B can control tap changer (raise and lower) via its tap changer outputs. TURA-03B is a light, compact and rugged device with the protection of IP67 (case closed).\nIn addition to ratio tests, TURA-03B can be used to perform Magnetic Balance Test as well.\nFEATURES\n•\tTurns Ratio Measurement (Single-phase and three-phase measurement)\n•\tFrom 0.8 to 50,000 Ratio Measurement\n•\tHigh Accuracy (0.08 %)\n•\tRatio Error Measurement\n•\tMagnetic Balance Test\n•\tExcitation Current, Phase Angle, Polarity Measurement\n•\tBuilt-in Battery\n•\tBuilt-in printer\n•\tAutomatic vector group detection feature\n•\tInternal Memory, USB Flash Drive\n•\tPC control via USB cable\n•\t7-inch large colour touch display"
13,14,1,admin,2020-04-15 05:59:18,-,https://drive.google.com/open?id=1mgv6BOxrfpLoiv9uZrnwos4Twyhh7FTe,TURA-03B BLUE Transformer Turn Ratio Tester with Battery and Bluetooth,"TURA-03B BLUE is designed by advanced engineering technology to measure the turns ratio of single-phase and three-phase transformers. TURA-03B BLUE has a fast, easy and accurate TTR measurement features for current, voltage and power transformers by its user-friendly software. TURA-03B BLUE is a battery-powered device, which allows the user to take measurements even without power supply during on-field tests.\nBy using ANSI/IEEE C57.12.90 measurement method TURA-03B BLUE can make precise results. TURA-03B BLUE is one of the most accurate devices with its wide range ratio (0.8 to 50,000) measurement capability and high precision (0.08 %). Besides the ratio measurement, TURA-03B BLUE can also measure excitation current, phase angle, polarity and ratio error. Even though TURA-03B BLUE has a three-phase cable configuration; the user can make single-phase transformer tests as well.\nTURA-03B BLUE can detect vector group automatically. TURA -03B BLUE has a wide operations range from high excitation value current transformer to high powered power transformer at substation with the 1V, 4V, 10V,  40 V, 100 V and 250 V AC test voltage generation capability. 7-inch colour touch display allows TURA-03B  BLUE to show all measurement results on a single screen. USB, Built-in Bluetooth and Flash Memory features allow TURA-03B BLUE to control, record and store measurement results (up to 100 Test Record).\nWith the HighTest Data Management Platform (DMP Software), users can control TURA-03B BLUE and analyse measurement results. Operators can easily print the measurement results with the 2.28-inch built-in Printer of TURA-03B BLUE. Multi-language capability and user-friendly operation menu make it easy to control TURA-03B BLUE, even by less trained staffs. TURA-03B BLUE can control tap changer (raise and lower) via its tap changer outputs. TURA-03B BLUE is a light, compact and rugged device with the protection of IP67 (case closed).\nIn addition to ratio tests, TURA-03B BLUE can be used to perform Magnetic Balance Test as well.\nFEATURES\n•\tTurns Ratio Measurement (Single-phase and three-phase measurement)\n•\tFrom 0.8 to 50,000 Ratio Measurement\n•\tHigh Accuracy (0.08 %)\n•\tRatio Error Measurement\n•\tMagnetic Balance Test\n•\tExcitation Current, Phase Angle, Polarity Measurement\n•\tBuilt-in Battery\n•\tBuilt-in printer\n•\tBuilt-in Bluetooth control and communication\n•\tAutomatic vector group detection feature\n•\tInternal Memory, USB Flash Drive\n•\tPC control via USB cable\n•\t7-inch large colour touch display"
14,18,0,admin,2020-04-15 06:00:15,-,https://drive.google.com/file/d/1pS55UAttpvG6Lu8Ma__KtH5zLlYmKD_m/view?usp=sharing,VABO-80 Vacuum Bottle Tester,"VABO-80 is designed by advanced engineering technology to test circuit-breaker vacuum bottles up to 80 kV DC. VABO-80 has a fast, easy and accurate measurement features by its user-friendly software. VABO-80 is a battery-powered device (optional feature), which allows users to perform tests even without power supply during on-field tests.\nFEATURES\n•\tCircuit-Breaker Vacuum Bottle Interrupter Testing\n•\tAutomatic Testing\n•\t10 kV to 80 kV DC with 1 kV step voltages\n•\tHigh Accuracy (1.5 %)\n•\t100 μA, 200 μA and 300 μA leakage current preset value\n•\t2.25 inches Built-in Printer\n•\tInternal memory (storage up to 100 records)\n•\tExternal Memory- USB flash drive\n•\tPC Software\n•\t4.3 inches TFT touch colour Display\n•\tIP67 Protection Class (case closed)\n•\tLight-Weight"
15,18,1,admin,2020-04-15 06:01:02,-,https://drive.google.com/file/d/1Y-rhLt_1GrFgE2-uMwFd1uiVzD89cs5k/view?usp=sharing,VABO-80B Vacuum Bottle Tester with Battery,"VABO-80B is designed by advanced engineering technology to test circuit-breaker vacuum bottles up to 80 kV DC. VABO-80B has a fast, easy and accurate measurement features by its user-friendly software. VABO-80B is a built-in battery-powered device, which allows users to perform tests even without power supply during on-field tests.\nFEATURES\n•\tCircuit-Breaker Vacuum Bottle Interrupter Testing\n•\tAutomatic Testing\n•\t10 kV to 80 kV DC with 1 kV step voltages\n•\tHigh Accuracy (1.5 %)\n•\t100 μA, 200 μA and 300 μA leakage current preset value\n•\tBuilt-in Battery\n•\t2.25 inches Built-in Printer\n•\tInternal memory (storage up to 100 records)\n•\tExternal Memory- USB flash drive\n•\tPC Software\n•\t4.3 inches TFT touch colour Display\n•\tIP67 Protection Class (case closed)\n•\tLight-Weight"
16,15,0,admin,2020-04-15 06:02:20,-,https://drive.google.com/open?id=1x8wbRa9javExtzKLzGJW-dqVAyp4PXRm,WINRES-20 Winding Resistance Tester,"WINRES-20 is designed by advanced engineering technology to measure the winding resistance of transformers.\nWINRES-20 can measure current, voltage, power transformer winding and shunt resistors. Applying up to 20 A DC allows WINRES-20 to measure the winding resistance of transformers quick and precise.\nThe smart design of WINRES-20 makes more apparent to determine the conclusion of measurements automatically according to users’ decision. WINRES-20 can measure two resistance values concurrently by its two voltage measurement channels. Users can prefer to test two primary or two secondary or one primary and one secondary winding according to the transformer configuration.\nBeginning from 0.01 μΩ resistances, WINRES-20 can measure up to 100,000 Ω resistance. WINRES-20 discharges the measured circuit after each test. For inductive load WINRES-20 can demagnetize the load. The temperature measurement input enables one to connect an optional sensor to WINRES-20 and perform temperature correction automatically.\nWINRES-20’s intelligent software allows controlling the current flow if there is a failure on the current circuit. With this feature, WINRES-20 procures added safety to users. A 7-inch colour touch display allows WINRES-20 to show all measurement results on a single screen.\nWINRES-20 can be controlled by USB-Bluetooth (optional) interface and users can record/store measurement results. In case setting up Laptop or PC for the on-field test is difficult; users can record data to the device’s internal memory (up to 100 Test Records) or external USB flash memory.\nWith the HighTest Data Management Platform (DMP Software), users can control WINRES-20 and analyses measurement results. Operators can easily print the measurement results with the 2.28-inch built-in Printer of WINRES-20. WINRES-20 has an optional battery power feature which allows users to make tests even when there is no electricity.\nMulti-language capability and user-friendly operation menu make it easy to control WINRES-20, even by less trained staff.\nThree-Phase Adapter TPA-03 (Optional) allows connecting all primary and secondary sides concurrently, whereby users can select either to test the resistance of all phases or selective phases. With the TPA-03 option, WINRES-20 can control tap changer (raise and lower) via its tap changer outputs.\nWINRES-20 is a light, compact and rugged device with the protection of IP67.\nFEATURES\n•\t2 channels resistance measurement\n•\tMeasurements from 0.01 μΩ to 100,000 Ω\n•\t0.001 A to 20 A DC adjustable current output\n•\tHigh accuracy (0.1%)\n•\tDemagnetization feature\n•\tUser-friendly operation menu\n•\tTemperature correction (1 input, sensor optional)\n•\tBuilt-in printer (2.28-inch)\n•\tData Management Platform (DMP Software) enables to control WINRES-20 and analyses results\n•\tInternal memory, USB Flash Drive\n•\tPC control via USB cable\n•\t7-inch large colour touch display\n•\tEmergency stop\n•\tMulti-language"
17,15,0,admin,2020-04-15 06:03:27,-,https://drive.google.com/open?id=1VNvdoayhUID-uPwXEYSnjAurU7IbD_3g,WINRES-20 BLUE Winding Resistance Tester with Bluetooth,"WINRES-20 BLUE is designed by advanced engineering technology to measure the winding resistance of transformers.\nWINRES-20 BLUE can measure current, voltage, power transformer winding and shunt resistors. Applying up to 20 A DC allows WINRES-20 BLUE to measure the winding resistance of transformers quick and precise.\nThe smart design of WINRES-20 BLUE makes more apparent to determine the conclusion of measurements automatically according to users’ decision. WINRES-20 BLUE can measure two resistance values concurrently by its two voltage measurement channels. Users can prefer to test two primary or two secondary or one primary and one secondary winding according to the transformer configuration.\nBeginning from 0.01 μΩ resistances, WINRES-20 BLUE can measure up to 100,000 Ω resistance. WINRES-20 BLUE discharges the measured circuit after each test. For inductive load WINRES-20\nWINRES-20 BLUE’s intelligent software allows controlling the current flow if there is a failure on the current circuit. With this feature, WINRES-20 BLUE procures added safety to users. A 7-inch colour touch display allows WINRES-20 BLUE to show all measurement results on a single screen.\nWINRES-20 BLUE can be controlled by USB-Bluetooth interface and users can record/store measurement results. In case setting up Laptop or PC for the on-field test is difficult; users can record data to the device’s internal memory (up to 100 Test Records) or external USB flash memory.\nWith the HighTest Data Management Platform (DMP Software), users can control WINRES-20 BLUE and analyses measurement results. Operators can easily print the measurement results with the 2.28-inch built-in Printer of WINRES-20 BLUE. WINRES-20 BLUE has an optional battery power feature which allows users to make tests even when there is no electricity.\nMulti-language capability and user-friendly operation menu make it easy to control WINRES-20 BLUE, even by less trained staff.\nThree-Phase Adapter TPA-03 (Optional) allows connecting all primary and secondary sides concurrently, whereby users can select either to test the resistance of all phases or selective phases. With the TPA-03 option, WINRES-20 BLUE can control tap changer (raise and lower) via its tap changer outputs.\nWINRES-20 BLUE is a light, compact and rugged device with the protection of IP67.\nFEATURES\n•\t2 channels resistance measurement\n•\tMeasurements from 0.01 μΩ to 100,000 Ω\n•\t0.001 A to 20 A DC adjustable current output\n•\tHigh accuracy (0.1%)\n•\tDemagnetization feature\n•\tUser-friendly operation menu\n•\tTemperature correction (1 input, sensor optional)\n•\tBuilt-in printer (2.28-inch)\n•\tData Management Platform (DMP Software) enables to control WINRES-20 BLUE and analyses results\n•\tInternal memory, USB Flash Drive\n•\tPC control via USB cable\n•\tBuilt-in Bluetooth control and communication\n•\t7-inch large colour touch display\n•\tEmergency stop\n•\tMulti-language"
18,15,0,admin,2020-04-15 06:04:22,-,https://drive.google.com/open?id=1EmHLoxLP1XPgiwDLwDY8muNxCTxHT8MJ,WINRES-20B Winding Resistance Tester with Battery,"WINRES-20B is designed by advanced engineering technology to measure the winding resistance of transformers.\nWINRES-20B can measure current, voltage, power transformer winding and shunt resistors. Applying up to 20 A DC allows WINRES-20B to measure the winding resistance of transformers quick and precise.\nThe smart design of WINRES-20B makes more apparent to determine the conclusion of measurements automatically according to users’ decision. WINRES-20B can measure two resistance values concurrently by its two voltage measurement channels. Users can prefer to test two primary or two secondary or one primary and one secondary winding according to the transformer configuration.\nBeginning from 0.01 μΩ resistances, WINRES-20B can measure up to 100,000 Ω resistance. WINRES-20B discharges the measured circuit after each test. For inductive load WINRES-20B can demagnetize the load. The temperature measurement input enables one to connect an optional sensor to WINRES-20B and perform temperature correction automatically.\nWINRES-20B’s intelligent software allows controlling the current flow if there is a failure on the current circuit. With this feature, WINRES-20B procures added safety to users. A 7-inch colour touch display allows WINRES-20B to show all measurement results on a single screen.\nWINRES-20B can be controlled by USB-Bluetooth (optional) interface and users can record/store measurement results. In case setting up Laptop or PC for the on-field test is difficult; users can record data to the device’s internal memory (up to 100 Test Records) or external USB flash memory.\nWith the HighTest Data Management Platform (DMP Software), users can control WINRES-20B and analyses measurement results. Operators can easily print the measurement results with the 2.28-inch built-in Printer of WINRES-20B. WINRES-20B has battery power feature which allows users to make tests even when there is no electricity.\nMulti-language capability and user-friendly operation menu make it easy to control WINRES-20B, even by less trained staff.\nThree-Phase Adapter TPA-03 (Optional) allows connecting all primary and secondary sides concurrently, whereby users can select either to test the resistance of all phases or selective phases. With the TPA-03 option, WINRES-20B can control tap changer (raise and lower) via its tap changer outputs.\nWINRES-20B is a light, compact and rugged device with the protection of IP67.\nFEATURES\n•\t2 channels resistance measurement\n•\tMeasurements from 0.01 μΩ to 100,000 Ω\n•\t0.001 A to 20 A DC adjustable current output\n•\tHigh accuracy (0.1%)\n•\tDemagnetization feature\n•\tUser-friendly operation menu\n•\tTemperature correction (1 input, sensor optional)\n•\tBuilt-in printer (2.28-inch)\n•\tData Management Platform (DMP Software) enables to control WINRES-20B and analyses results\n•\tBattery Power\n•\tInternal memory, USB Flash Drive\n•\tPC control via USB cable\n•\t7-inch large colour touch display\n•\tEmergency stop\n•\tMulti-language"
